id,title,selling_price,discounted_price,description,brand,category
2,"Samsung Galaxy M02 (Blue, 32 GB)  (2 GB RAM)",7999.0,7500.0,"⦁ 13MP+2MP Dual rear camera setup-13MP (F1.9) main camera + 2MP (2.4) Macro Camera| 5MP (F2.0) front camera ⦁ 16.55 centimeters (6.5-inch) PLS TFT LCD - v-cut display, HD+ resolution with 720 x 1600 pixels resolution, 269 PPI with 16M colours ⦁ Memory, Storage & SIM: 2GB RAM | 32GB internal memory expandable up to 1TB| Dual SIM (nano+nano) dual-standby (4G+4G) ⦁ Android Pie v10.0 operating system with 1.5GHz mediaTek |MT6739WW Quad core processor ⦁ 5000mAH lithium-ion battery, 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",Samsung,M
3,"Samsung Galaxy M01 (Blue, 32 GB)  (3 GB RAM)",9000.0,8499.0,"Looking out for a phone that is a good performer and a great medium for your leisure needs? Then, it’s time to bring home the Samsung Galaxy M01 smartphone whose powerful battery (4000 mAh) will keep you up and running when you are on-the-go. Oh, when it comes to capturing images, you can do so with the help of this phone’s dual rear camera (13 MP main + 2 MP depth) and 5 MP front camera.",Samsung,M
4,Men Printed Round Neck Cotton Blend Blue T-Shirt,1500.0,799.0,"Type                    Round Neck
Sleeve                 Half Sleeve
Fit                       Oversized
Fabric                 Cotton Blend
Sales Package    1 Oversized Tshirt
Pack of               1
Style Code          FS49_BLUE_FIRE
Neck Type          Round Neck",T-rex,TW
5,Men Relaxed Fit Mid Rise Blue Jeans,2399.0,899.0,"Brand             Roadster
Style Code     32530747
Ideal For        Men
Suitable For   Western Wear
Pack Of          1
Reversible      No
Fabric            Cotton Blend
Faded            Light Fade",Roadster,BW
6,Highlander-original,1499.0,1299.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Highlander-original,BW
7,Red Tape,999.0,699.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Red Tape,BW
8,Roadster,2999.0,999.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
9,Roadster,6999.0,1298.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
10,Roadster,2499.0,1999.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
11,Roadster,7999.0,1599.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Roadster,BW
12,Wrogn,4999.0,2249.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Wrogn,BW
13,Ketch,699.0,399.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Ketch,TW
14,Nike Madrid Jersey,1299.0,999.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Madrid Jersey,TW
15,Mast & Harbour,1099.0,799.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",Mast & Harbour,TW
16,The Souled Store Originals,1699.0,1499.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",The Souled Store,TW
17,The Souled Store Originals,1299.0,999.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",The Souled Store,TW
18,The Souled Store Originals,1499.0,799.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",The Souled Store,TW
19,The Souled Store Originals Mahada,1799.0,1299.0,"From sunrise strolls to late-night lounges, our bottoms are designed to move with you. Crafted from high-quality fabrics, every piece balances comfort, durability, and trend-forward design. Whether you're looking for the structured polish of tailored trousers, the laid-back vibe of joggers, or the flowing grace of skirts, we've got a fit for every mood and moment.

✨ Why you'll love it:

    Ultra-soft, breathable materials for all-day comfort

    Flattering cuts that suit every body type

    Versatile styles that go from work to weekend

    Available in a variety of colors and sizes

Pair with your favorite top, layer up with confidence, and walk into your day with unstoppable energy.",The Souled Store,TW
20,"Samsung Galaxy M03 (Blue, 32 GB)  (3 GB RAM)",14999.0,12999.0,"📱 Elevate Your Everyday with Smart Innovation

Stay connected, capture memories, and command your world with our latest mobile phone—where cutting-edge technology meets intuitive design. From ultra-fast processing to stunning high-resolution cameras, this device delivers everything you need and more, wrapped in a sleek, modern frame.

✨ Key Features:

    🔋 Long-lasting battery life to power you through the day

    📸 Advanced camera system for studio-quality shots

    ⚡ Lightning-fast performance with next-gen processors

    🌐 Seamless connectivity and 5G-ready for faster browsing

    📱 Immersive display with vibrant color and crisp detail

Designed for those who demand more from their phone—whether you're working, streaming, gaming, or creating.",Samsung,M
21,"Samsung Galaxy M04 (Blue, 32 GB)  (2 GB RAM)",19999.0,14999.0,"📱 Elevate Your Everyday with Smart Innovation

Stay connected, capture memories, and command your world with our latest mobile phone—where cutting-edge technology meets intuitive design. From ultra-fast processing to stunning high-resolution cameras, this device delivers everything you need and more, wrapped in a sleek, modern frame.

✨ Key Features:

    🔋 Long-lasting battery life to power you through the day

    📸 Advanced camera system for studio-quality shots

    ⚡ Lightning-fast performance with next-gen processors

    🌐 Seamless connectivity and 5G-ready for faster browsing

    📱 Immersive display with vibrant color and crisp detail

Designed for those who demand more from their phone—whether you're working, streaming, gaming, or creating.",Samsung,M
22,"Samsung Galaxy M05 (Blue, 32 GB)  (2 GB RAM)",21999.0,15999.0,"📱 Elevate Your Everyday with Smart Innovation

Stay connected, capture memories, and command your world with our latest mobile phone—where cutting-edge technology meets intuitive design. From ultra-fast processing to stunning high-resolution cameras, this device delivers everything you need and more, wrapped in a sleek, modern frame.

✨ Key Features:

    🔋 Long-lasting battery life to power you through the day

    📸 Advanced camera system for studio-quality shots

    ⚡ Lightning-fast performance with next-gen processors

    🌐 Seamless connectivity and 5G-ready for faster browsing

    📱 Immersive display with vibrant color and crisp detail

Designed for those who demand more from their phone—whether you're working, streaming, gaming, or creating.",Samsung,M
23,"Samsung Galaxy M06 (Blue, 32 GB)  (3 GB RAM)",21999.0,16999.0,"📱 Elevate Your Everyday with Smart Innovation

Stay connected, capture memories, and command your world with our latest mobile phone—where cutting-edge technology meets intuitive design. From ultra-fast processing to stunning high-resolution cameras, this device delivers everything you need and more, wrapped in a sleek, modern frame.

✨ Key Features:

    🔋 Long-lasting battery life to power you through the day

    📸 Advanced camera system for studio-quality shots

    ⚡ Lightning-fast performance with next-gen processors

    🌐 Seamless connectivity and 5G-ready for faster browsing

    📱 Immersive display with vibrant color and crisp detail

Designed for those who demand more from their phone—whether you're working, streaming, gaming, or creating.",Samsung,M
24,"Samsung Galaxy M07 (Blue, 32 GB)  (3 GB RAM)",22999.0,17499.0,"📱 Elevate Your Everyday with Smart Innovation

Stay connected, capture memories, and command your world with our latest mobile phone—where cutting-edge technology meets intuitive design. From ultra-fast processing to stunning high-resolution cameras, this device delivers everything you need and more, wrapped in a sleek, modern frame.

✨ Key Features:

    🔋 Long-lasting battery life to power you through the day

    📸 Advanced camera system for studio-quality shots

    ⚡ Lightning-fast performance with next-gen processors

    🌐 Seamless connectivity and 5G-ready for faster browsing

    📱 Immersive display with vibrant color and crisp detail

Designed for those who demand more from their phone—whether you're working, streaming, gaming, or creating.",Samsung,M
25,Samsung Galaxy Book4 Metal Intel Core i5,82789.0,61490.0,"Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",Samsung,L
26,Acer Aspire Intel Core i5 12th,59999.0,40900.0,"Acer Aspire Intel Core i5 12th Gen 12450H - (12 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light Laptop  (15.6 inch, Pure Silver, 1.70 kg)",Acer,L
27,Acer Aspire Lite Intel Core i5 12th,63900.0,48990.0,"Acer Aspire Lite Intel Core i5 12th Gen 12450H - (16 GB/1 TB SSD/Windows 11 Home) AL15-52H Thin and Light Laptop  (15.6 inch, Pure Silver, 1.77 Kg)",Acer,L
28,ASUS Expertbook P1,89990.0,58990.0,"ASUS Expertbook P1 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70611WS Thin and Light Laptop  (15.6 inch, Misty Grey, 1.65 Kg, With MS Office)",ASUS,L
29,Lenovo IdeaPad Slim 3,66090.0,47500.0,"Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin and Light Laptop  (14 Inch, Arctic Grey, 1.37 Kg, With MS Office)",Lenovo,L
